iter	Logloss
0	0.5498956953
1	0.439865848
2	0.3710840225
3	0.3047987802
4	0.2641053881
5	0.2303604126
6	0.2024052756
7	0.184000424
8	0.1708437102
9	0.1586487361
10	0.1496007374
11	0.1407219614
12	0.1336226327
13	0.1286702974
14	0.1243248667
15	0.1203380448
16	0.1190293312
17	0.1168861389
18	0.1146363395
19	0.1122134277
20	0.1103074823
21	0.1092811312
22	0.1087099416
23	0.1070511
24	0.1050673076
25	0.1044174058
26	0.104047823
27	0.1034919398
28	0.1028703417
29	0.1010131291
30	0.0996481623
31	0.0971317155
32	0.09648684093
33	0.09584889412
34	0.09493156842
35	0.09454588209
36	0.09288368906
37	0.09079301017
38	0.09010064942
39	0.08904493877
40	0.08742159435
41	0.08692883083
42	0.08604050364
43	0.08516267368
44	0.0839400019
45	0.08380522728
46	0.08356933594
47	0.08309743064
48	0.08244325774
49	0.08138794218
50	0.0811588083
51	0.08078750883
52	0.08025662558
53	0.08012648991
54	0.07891898155
55	0.07758881705
56	0.07676313945
57	0.07607528142
58	0.07522087097
59	0.07384102004
60	0.07273551396
61	0.07206713131
62	0.07146743366
63	0.07098146166
64	0.07066669464
65	0.06932723182
66	0.06890279225
67	0.06843070984
68	0.06815957342
69	0.06650322505
70	0.06620738166
71	0.06608975274
72	0.06553818839
73	0.06532026018
74	0.06413296291
75	0.0638237272
76	0.06336710794
77	0.06285544804
78	0.06248877389
79	0.06102847372
80	0.06050180708
81	0.05985884666
82	0.05961561203
83	0.05927727563
84	0.05858507156
85	0.05835128512
86	0.05817258017
87	0.05685921397
88	0.05611192158
89	0.05596772262
90	0.05583548546
91	0.05577503272
92	0.05536896842
93	0.05468751362
94	0.05392783029
95	0.05386969362
96	0.05286098208
97	0.05259751592
98	0.05254621165
99	0.05208026341
100	0.05203449386
101	0.0517698322
102	0.05156024184
103	0.05066503797
104	0.05051447323
105	0.04969651018
106	0.0493619442
107	0.04883901051
108	0.04870084354
109	0.04793935503
110	0.04781188965
111	0.04694713184
112	0.04677756514
113	0.04661977972
114	0.04634847982
115	0.04602121966
116	0.04525977543
117	0.04492310796
118	0.04488142899
119	0.04433551516
120	0.04424394199
121	0.04409619059
122	0.04345139435
123	0.04321203232
124	0.04311219284
125	0.04286313738
126	0.04206880842
127	0.04203528677
128	0.04131586211
129	0.04073279245
130	0.04065532003
131	0.04054937703
132	0.04032447679
133	0.04020037992
134	0.03998480524
135	0.03948703834
136	0.03929655893
137	0.03918317386
138	0.03890613828
139	0.03887748037
140	0.03880360808
141	0.03872343472
142	0.03851662363
143	0.03796804292
144	0.03794681004
145	0.03788140161
146	0.03752166884
147	0.03710665703
148	0.03702958652
149	0.03642940521
150	0.03621511459
151	0.03574376787
152	0.03526648794
153	0.03502269132
154	0.03466758047
155	0.03457016945
156	0.03436614445
157	0.03429562705
158	0.03414994649
159	0.03413035529
160	0.03381927354
161	0.03367917197
162	0.03325648989
163	0.03317532539
164	0.03281568459
165	0.03266915594
166	0.03261568546
167	0.03223670551
168	0.03205041885
169	0.03160670144
170	0.03117803846
171	0.03116383893
172	0.03109406744
173	0.03094750813
174	0.03093109812
175	0.03072771345
176	0.03056716919
177	0.03055306843
178	0.030516822
179	0.03045312337
180	0.03014210292
181	0.02945340702
182	0.02885530336
183	0.02866038595
184	0.02839327199
185	0.02835119963
186	0.02813567434
187	0.02791976588
188	0.02785107919
189	0.02783762557
190	0.02780716079
191	0.02766774723
192	0.02746421439
193	0.02711936065
194	0.02693574088
195	0.02688178165
196	0.02666227136
197	0.02662127869
198	0.02645253284
199	0.02632010494
